gen,nevals,avg,std,min,max,diversity,improvement_rate,stagnation,sr_cx,sr_mut,cx_applied,mut_applied,op_sel,op_cx,op_mut,cxpb,mutpb,switch_interval,since_last_switch,switch_effective,op_sel_param,op_cx_param,op_mut_param
24,26,0.9723884904000415,0.003909528197207233,0.9549048284427882,0.9775128085700977,0.08203389830508474,0.0008631053121062846,3,0.16666666666666666,0.125,18,8,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
25,39,0.971726941986234,0.0037342914768879873,0.9601990374165502,0.9775128085700977,0.09169491525423729,-0.0006803334473193306,4,0.09090909090909091,0.11764705882352941,22,17,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
26,39,0.9713170884438234,0.004145281683897771,0.9496727216270765,0.9774972830305851,0.1060075329566855,-0.0004217785107129799,0,0.16666666666666666,0.19047619047619047,18,21,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
27,26,0.9712900429539928,0.005514076611581482,0.9351855301971744,0.9774972830305851,0.1067984934086629,-2.784414086021972e-05,1,0.35714285714285715,0.0,14,12,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
28,39,0.9721333747347721,0.0035398215173381943,0.9571113181183046,0.9774972830305851,0.10278719397363466,0.0008682594729525905,2,0.14285714285714285,0.18181818181818182,28,11,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
29,43,0.9718232624333696,0.004015119205905083,0.9506983387672722,0.9771072814780314,0.09361581920903954,-0.00031900180516603624,0,0.0,0.13333333333333333,28,15,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
30,45,0.9717733633493763,0.0037323161258684466,0.9564136003726128,0.9771072814780314,0.09199623352165726,-5.134584231744854e-05,1,0.0625,0.0,32,13,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
31,40,0.9720269316358743,0.0034474249239610515,0.9632010557366867,0.9781950007762769,0.11186440677966102,0.0002609335633815529,0,0.08333333333333333,0.0625,24,16,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
32,33,0.9725592195828803,0.004029818829122945,0.9504993013507218,0.9781950007762769,0.09468926553672316,0.000547606171888858,1,0.16666666666666666,0.06666666666666667,18,15,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
33,38,0.9724442167365317,0.003204691892291845,0.9630100916006832,0.9781950007762769,0.11001883239171374,-0.00011824765426407753,2,0.045454545454545456,0.125,22,16,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
34,31,0.9721896755162241,0.004426786252866125,0.9498636857630801,0.9781950007762769,0.10856873822975517,-0.0002617540584094099,3,0.18181818181818182,0.2222222222222222,22,9,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
35,46,0.9727355793613828,0.003585833818592998,0.9553103555348548,0.9781950007762769,0.0992090395480226,0.0005615198956610539,4,0.07142857142857142,0.16666666666666666,28,18,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
36,37,0.9724773792889303,0.003230711585187671,0.9624055270920664,0.9781950007762769,0.10376647834274952,-0.00026543706011245867,5,0.11538461538461539,0.09090909090909091,26,11,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
37,33,0.9727743311080059,0.0033910036185521484,0.9607955286446203,0.9770762303990065,0.10591337099811676,0.0003053560169109124,0,0.09090909090909091,0.18181818181818182,22,11,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
38,30,0.9721946643895876,0.004856083721484997,0.9525148268902345,0.9764561403508772,0.10935969868173259,-0.0005958902284747883,0,0.14285714285714285,0.0625,14,16,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
39,31,0.97291751798375,0.0037217073715839757,0.9542071106970967,0.976456140350877,0.1120527306967985,0.0007435276294345055,1,0.18181818181818182,0.1111111111111111,22,9,tournament,uniform,flip_bit,0.4,0.4,20,0,,"{""tournsize"": 2}","{""indpb"": 0.5}","{""indpb"": 0.0333}"
40,45,0.971523950732288,0.0041574405575283595,0.9553569321533923,0.9768616674429436,0.12988700564971753,-0.0014323590907788322,0,0.09375,0.23076923076923078,32,13,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
41,53,0.9703014231744552,0.0045864992472002,0.9518015836050303,0.9775438596491227,0.15389830508474575,-0.001258360699096843,0,0.14285714285714285,0.2727272727272727,42,11,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
42,50,0.9682908658075869,0.006458097778694306,0.9401409718987734,0.9763940381928271,0.19175141242937854,-0.0020720956589865723,0,0.2,0.0,40,10,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
43,48,0.9673823371112147,0.006483109856075697,0.9421875485173111,0.976456140350877,0.21613935969868173,-0.0009382807671272556,0,0.21428571428571427,0.05,28,20,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
44,44,0.9671408735703565,0.00644357431743172,0.9421875485173111,0.976456140350877,0.24491525423728816,-0.00024960507505155034,1,0.25,0.25,32,12,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
45,48,0.9668665476375302,0.00754915862307733,0.939290793355069,0.9750917559385189,0.265894538606403,-0.00028364630254283635,0,0.2631578947368421,0.2,38,10,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
46,47,0.9666135330952752,0.006866124768398266,0.9474115820524761,0.9757273715261605,0.2811864406779661,-0.0002616850721262801,0,0.34375,0.13333333333333333,32,15,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
47,55,0.9655095947834187,0.009432022961128982,0.9162462350566681,0.9755283341096102,0.302090395480226,-0.001142067924831858,0,0.3181818181818182,0.18181818181818182,44,11,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
48,46,0.9639149717952699,0.010543472143340699,0.9093063188945816,0.9759183356621642,0.31536723163841807,-0.0016515868892080076,0,0.25,0.3888888888888889,28,18,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
49,54,0.9638817523158928,0.009249962472409327,0.9335600062102158,0.9759493867411893,0.32691148775894535,-3.446308061300914e-05,0,0.275,0.14285714285714285,40,14,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
50,53,0.963478792113026,0.007654375591924736,0.9353299177146405,0.9746241266884024,0.3501883239171375,-0.0004180597899053541,0,0.30952380952380953,0.2727272727272727,42,11,sus,uniform,flip_bit,0.6,0.6,20,0,,{},"{""indpb"": 0.5}","{""indpb"": 0.033}"
